FILENAME,TABLENAME,PVO_NAME,BICC_BATCH_NAME,CLUSTER_FIELDS,PARTITION_BY_TIME,PARTITION_BY_INTEGER,PK_TABLE,INC_TABLE,IEI_TABLE
file_fscmtopmodelam_analyticsserviceam_fndtreeandversionvo,FSCM_FND_TREE_AND_VERSION_VO,fscmtopmodelam.analyticsserviceam.fndtreeandversionvo,FSC-FULL,,,,PK_FSCM_FND_TREE_AND_VERSION_VO,INC_FSCM_FND_TREE_AND_VERSION_VO,IEI_FSCM_FND_TREE_AND_VERSION_VO
file_fscmtopmodelam_analyticsserviceam_keyflexstructureinstancespvo,FSCM_KEY_FLEX_STRUCTURE_INSTANCES,fscmtopmodelam.analyticsserviceam.keyflexstructureinstancespvo,FSC-FULL,,,,PK_FSCM_KEY_FLEX_STRUCTURE_INSTANCES,INC_FSCM_KEY_FLEX_STRUCTURE_INSTANCES,IEI_FSCM_KEY_FLEX_STRUCTURE_INSTANCES
file_fscmtopmodelam_analyticsserviceam_valuesettypedvaluespvo,FSCM_VALUE_SET_TYPED_VALUES,fscmtopmodelam.analyticsserviceam.valuesettypedvaluespvo,FSC-FULL,,,,PK_FSCM_VALUE_SET_TYPED_VALUES,INC_FSCM_VALUE_SET_TYPED_VALUES,IEI_FSCM_VALUE_SET_TYPED_VALUES
file_fscmtopmodelam_analyticsserviceam_valuesetvaluespvo,FSCM_VALUE_SET_VALUES,fscmtopmodelam.analyticsserviceam.valuesetvaluespvo,FSC-FULL,,,,PK_FSCM_VALUE_SET_VALUES,INC_FSCM_VALUE_SET_VALUES,IEI_FSCM_VALUE_SET_VALUES
file_fscmtopmodelam_analyticsserviceam_valuesetvaluestlpvo,FSCM_VALUE_SET_VALUES_TL,fscmtopmodelam.analyticsserviceam.valuesetvaluestlpvo,FSC-FULL,,,,PK_FSCM_VALUE_SET_VALUES_TL,INC_FSCM_VALUE_SET_VALUES_TL,IEI_FSCM_VALUE_SET_VALUES_TL
file_fscmtopmodelam_billingeventam_billingeventpvo,FSCM_BILLINGEVENT_BILLING_EVENT,fscmtopmodelam.billingeventam.billingeventpvo,FSC-FULL,,,,PK_FSCM_BILLINGEVENT_BILLING_EVENT,INC_FSCM_BILLINGEVENT_BILLING_EVENT,IEI_FSCM_BILLINGEVENT_BILLING_EVENT
file_fscmtopmodelam_categorybiam_flex_bi_category_vi,FSCM_CATEGORYBI_FLEX_BI_CATEGORY_VI,fscmtopmodelam.categorybiam.flex_bi_category_vi,FSC-FULL,,,,PK_FSCM_CATEGORYBI_FLEX_BI_CATEGORY_VI,INC_FSCM_CATEGORYBI_FLEX_BI_CATEGORY_VI,IEI_FSCM_CATEGORYBI_FLEX_BI_CATEGORY_VI
file_fscmtopmodelam_contractscoream_contractheaderlinesp,FSCM_CONTRACTSCORE_CONTRACT_HEADER_LINES_P,fscmtopmodelam.contractscoream.contractheaderlinesp,FSC-FULL,,,,PK_FSCM_CONTRACTSCORE_CONTRACT_HEADER_LINES_P,INC_FSCM_CONTRACTSCORE_CONTRACT_HEADER_LINES_P,IEI_FSCM_CONTRACTSCORE_CONTRACT_HEADER_LINES_P
file_fscmtopmodelam_contractscoream_contractheaderp,FSCM_CONTRACTSCORE_CONTRACT_HEADER_P,fscmtopmodelam.contractscoream.contractheaderp,FSC-FULL,,,,PK_FSCM_CONTRACTSCORE_CONTRACT_HEADER_P,INC_FSCM_CONTRACTSCORE_CONTRACT_HEADER_P,IEI_FSCM_CONTRACTSCORE_CONTRACT_HEADER_P
file_fscmtopmodelam_finapinvsetuppmttermsam_paymenttermheadertranslationpvo,FSCM_FINAPINVSETUPPMTTERMS_PAYMENT_TERM_HEADER_TRANSLATION,fscmtopmodelam.finapinvsetuppmttermsam.paymenttermheadertranslationpvo,FSC-FULL,,,,PK_FSCM_FINAPINVSETUPPMTTERMS_PAYMENT_TERM_HEADER_TRANSLATION,INC_FSCM_FINAPINVSETUPPMTTERMS_PAYMENT_TERM_HEADER_TRANSLATION,IEI_FSCM_FINAPINVSETUPPMTTERMS_PAYMENT_TERM_HEADER_TRANSLATION
